rut_ci,razon_social,nombre_fantasia,tenant_id,direccion,email_facturacion,tel,status_riesgo,limite_de_credito,estado_actual
210000140015,Supermercado Lopez Inc.,Supermercado Lopez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 15 No. 5542, Montevideo",admin@supermercadolopezinc.com,093347654,Regular,50000,Pendiente
210000150016,Supermercado Silva Group,Supermercado Silva,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 35 No. 9884, Montevideo",admin@supermercadosilvagroup.com,092804888,Regular,250000,Pendiente
210000160017,Distribuidora Martinez Logistics,Distribuidora Martinez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 69 No. 6537, Montevideo",admin@distribuidoramartinezlogistics.com,091663516,Alto,100000,Pendiente
210000170018,Agro Lopez S.R.L.,Agro Lopez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 21 No. 9226, Montevideo",admin@agrolopezsrl.com,092576663,Alto,100000,Pendiente
210000180010,Barraca Lopez Logistics,Barraca Lopez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 86 No. 7856, Montevideo",admin@barracalopezlogistics.com,099461556,Regular,100000,Pendiente
210000190011,Farmacia Rodriguez Inc.,Farmacia Rodriguez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 52 No. 1318, Montevideo",admin@farmaciarodriguezinc.com,095160270,Regular,100000,Pendiente
210000200012,Inversiones Silva Tech,Inversiones Silva,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 89 No. 8587, Montevideo",admin@inversionessilvatech.com,099234926,Regular,1000000,Pendiente
210000210013,Distribuidora Martinez Ltda.,Distribuidora Martinez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 99 No. 6664, Montevideo",admin@distribuidoramartinezltda.com,095513648,Alto,1000000,Pendiente
210000220014,Agro Lopez Group,Agro Lopez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 40 No. 8822, Montevideo",admin@agrolopezgroup.com,091824867,Alto,500000,Pendiente
210000230015,Farmacia Fernandez Inc.,Farmacia Fernandez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 11 No. 3134, Montevideo",admin@farmaciafernandezinc.com,097899566,Regular,100000,Pendiente
210000240016,Farmacia Garcia Ltda.,Farmacia Garcia,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 66 No. 4441, Montevideo",admin@farmaciagarcialtda.com,098489085,Regular,1000000,Pendiente
210000250017,Inversiones Lopez Inc.,Inversiones Lopez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 37 No. 1800, Montevideo",admin@inversioneslopezinc.com,098820271,Alto,50000,Pendiente
210000260018,Transporte Silva S.A.,Transporte Silva,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 64 No. 7903, Montevideo",admin@transportesilvasa.com,099988793,Excelente,250000,Comercial
210000270010,Agro Garcia S.A.,Agro Garcia,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 97 No. 9122, Montevideo",admin@agrogarciasa.com,094370108,Regular,500000,Pendiente
210000280011,Supermercado Perez Tech,Supermercado Perez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 74 No. 6172, Montevideo",admin@supermercadopereztech.com,097453526,Regular,1000000,Pendiente
210000290012,Agro Silva Ltda.,Agro Silva,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 10 No. 5413, Montevideo",admin@agrosilvaltda.com,096295747,Crítico,1000000,Pendiente
210000300013,Distribuidora Rodriguez S.R.L.,Distribuidora Rodriguez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 83 No. 3153, Montevideo",admin@distribuidorarodriguezsrl.com,092371045,Alto,500000,Pendiente
210000310014,Inversiones Garcia S.R.L.,Inversiones Garcia,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 11 No. 4162, Montevideo",admin@inversionesgarciasrl.com,091215415,Crítico,1000000,Pendiente
210000320015,Importadora Lopez Tech,Importadora Lopez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 5 No. 7119, Montevideo",admin@importadoralopeztech.com,096779417,Regular,1000000,Pendiente
210000330016,Importadora Rodriguez Group,Importadora Rodriguez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 24 No. 6350, Montevideo",admin@importadorarodriguezgroup.com,096490697,Excelente,50000,Comercial
210000340017,Laboratorio Fernandez Logistics,Laboratorio Fernandez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 11 No. 9627, Montevideo",admin@laboratoriofernandezlogistics.com,093474316,Crítico,100000,Pendiente
210000350018,Estudio Garcia S.R.L.,Estudio Garcia,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 5 No. 4865, Montevideo",admin@estudiogarciasrl.com,099702990,Regular,50000,Pendiente
210000360010,Agro Lopez Inc.,Agro Lopez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 61 No. 9502, Montevideo",admin@agrolopezinc.com,096962030,Crítico,1000000,Pendiente
210000370011,Laboratorio Lopez Logistics,Laboratorio Lopez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 18 No. 5599, Montevideo",admin@laboratoriolopezlogistics.com,097861179,Regular,50000,Pendiente
210000380012,Estudio Perez Group,Estudio Perez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 41 No. 5239, Montevideo",admin@estudioperezgroup.com,096134437,Excelente,250000,Comercial
210000390013,Constructora Gonzalez Tech,Constructora Gonzalez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 54 No. 5724, Montevideo",admin@constructoragonzaleztech.com,096785763,Crítico,50000,Pendiente
210000400014,Supermercado Gonzalez S.R.L.,Supermercado Gonzalez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 54 No. 6041, Montevideo",admin@supermercadogonzalezsrl.com,094678848,Alto,250000,Pendiente
210000410015,Transporte Gonzalez S.R.L.,Transporte Gonzalez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 97 No. 5095, Montevideo",admin@transportegonzalezsrl.com,099928226,Regular,50000,Pendiente
210000420016,Importadora Silva Inc.,Importadora Silva,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 33 No. 4627, Montevideo",admin@importadorasilvainc.com,094495872,Alto,250000,Pendiente
210000430017,Laboratorio Lopez Ltda.,Laboratorio Lopez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 64 No. 4412, Montevideo",admin@laboratoriolopezltda.com,093178438,Regular,1000000,Pendiente
210000440018,Constructora Gonzalez Logistics,Constructora Gonzalez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 71 No. 6353, Montevideo",admin@constructoragonzalezlogistics.com,095200376,Regular,250000,Pendiente
210000450010,Barraca Garcia Group,Barraca Garcia,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 76 No. 5787, Montevideo",admin@barracagarciagroup.com,099716161,Crítico,100000,Pendiente
210000460011,Distribuidora Rodriguez Tech,Distribuidora Rodriguez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 19 No. 3322, Montevideo",admin@distribuidorarodrigueztech.com,092686897,Excelente,50000,Comercial
210000470012,Estudio Lopez Ltda.,Estudio Lopez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 23 No. 7804, Montevideo",admin@estudiolopezltda.com,099575944,Excelente,100000,Comercial
210000480013,Fabrica Fernandez Group,Fabrica Fernandez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 40 No. 3888, Montevideo",admin@fabricafernandezgroup.com,093579072,Crítico,1000000,Pendiente
210000490014,Consultora Martinez S.A.,Consultora Martinez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 71 No. 4736, Montevideo",admin@consultoramartinezsa.com,099977472,Alto,100000,Pendiente
210000500015,Laboratorio Rodriguez S.A.,Laboratorio Rodriguez,b942b959-92f8-4ed1-8397-80ff430d8f2e,"Calle 50 No. 5051, Montevideo",admin@laboratoriorodriguezsa.com,096574980,Crítico,500000,Pendiente
